Mixture	SCLC01	SCLC02	SCLC03	SCLC04	SCLC05	SCLC06	SCLC07	SCLC08	SCLC09	SCLC10	SCLC11	SCLC12	SCLC13	SCLC14	SCLC15	SCLC16	SCLC17	SCLC18	SCLC19	SCLC20	SCLC21	SCLC22	SCLC23	SCLC24	SCLC25	SCLC26	SCLC27	SCLC28	SCLC29	SCLC30	SCLC31	SCLC32	SCLC33	SCLC34	SCLC35	SCLC36
ly_Endothelial_cells	0.00187673465693487	8.98252848979434e-20	0.0220822289189476	4.47083185088344e-20	0	0.000210148006327094	0.00309278693921676	4.52136492478911e-20	0	0.0140017846423624	1.13424321618958e-19	2.83577833408108e-20	0.000212660232026841	0	0.0061766804014032	0.00359364556023036	4.94964534282666e-20	0	0.000338252193988244	0.00700600055212982	6.28495808319916e-19	0	0.00162546051342416	8.12013339050875e-20	0	0	1.29451729811616e-05	0	0	7.23517551814036e-19	0.00533921924891479	0.00546627375495054	0	0.00144035549057553	1.02048074859335e-19	0.000601407473076653
Macrophages	4.29197132964244e-18	0	2.07101224129946e-20	8.20416464382419e-19	0	0	1.33121971404939e-18	4.4704909365957e-20	1.43858116935643e-18	0	0.00401237270480913	1.64072885314709e-19	0	0	0	6.32986344402115e-19	5.13380879133018e-19	0.0139276823233621	0	2.36760131036388e-19	0.0116877606074426	0.00288662257572683	0	0	2.95017840519899e-19	0	0	1.10861787815552e-18	2.18730425368412e-18	0	0	0.00237302201967434	0	0	5.57939246262487e-21	0
Macrophages_M1	0.0146421858580822	0.000691123143732103	0.0104753064288508	0	0.00141004072532142	0.00240609551670812	0	3.92869283235239e-20	9.56522161384498e-20	8.76952896724869e-22	0	0.00155026689734007	0.000648226441926511	0.00132883356500177	0.00410710457370411	0.0021634840093336	6.11911793341185e-19	0.011381537981186	1.63366843977648e-18	8.65290784371829e-20	0.00616461398963861	0.00544209966494134	0.00188520626710934	2.24987013329834e-20	0	0	0	0	0	1.18120675569965e-19	1.79033052467013e-19	0.00362278627125716	2.92878400067412e-18	0	6.90724349530736e-19	0.00134888604555565
Macrophages_M2	0	0.00453734884674401	6.7712037488946e-21	0.00260736544064515	0.00309878930376544	2.71858171617442e-19	8.20387442829693e-19	0	0	0.00202808275455175	0.000413785012961752	0.00115820254603163	0.00787180326832036	4.21723412505336e-20	0.00162658883907378	0.00159069369188745	2.25250115205297e-18	3.59255744818305e-19	0	0.000411818429692269	0.00299126674381706	0.0171208045294881	0.0036270737778039	0	4.36265702508886e-19	0	4.68422074313126e-19	2.07172227013476e-19	2.11106786483659e-19	0	1.49711569203098e-19	0.00387008291910242	9.09886500433105e-20	0.000412293267010707	0.00179210801324017	0.00137875808451528
Mast_cells	0	1.39057015248498e-20	0	0.00200860427570711	0	7.89448632252033e-19	0	0.000381859918490203	0.00423496733900852	0	0.00585509306457879	5.02633845582324e-19	1.07649148630536e-18	0.000480814908904167	0.00234092642777652	7.9182947872143e-20	0.00262547363074965	4.27195881368439e-06	0.000220119911640729	0	0.00300994027680459	2.92101026267339e-05	2.13584836439229e-19	1.05846390391724e-19	0	0.00310564133617872	0	0.00219452983100075	0.00146615430485895	0.00503693905797529	0	2.4510100269804e-22	9.48199183044103e-19	4.29911696312404e-19	4.38669732098404e-19	0
Megakaryocytes	0	0.00389565370127544	0.0132666936479172	0.0038887878112356	0.0103078828782255	0.00213561249169509	0.0202175061778924	0	0.00225892178336835	0.000961456790368764	0.00868566025942593	0.00178683662532136	0.000920770169293935	4.64691753274792e-20	0.00227353347945026	0.00185585551767582	0.0216764712292649	0.0174772271564212	9.86143481966207e-19	0.000764485997319587	0.00730714974969643	0.00130392056067553	0.00622039071961386	0.0217287063735322	0.014645177851202	2.08131279711499e-18	0	0	5.93619199755284e-05	0.0164886168551106	0.00438359016402243	0.00410718973959846	2.14400446871869e-18	0.02615577606597	0.00927816994237778	0.000157691387992424
Melanocytes	0.00148896998483808	2.18215116290555e-19	0.00189026662545384	0.00215155108477408	2.69290415873558e-20	0	0	0.000344549472079329	0.00391474845498641	0.00101302206700974	4.53073433166911e-21	0.00189942676922631	0	0.00120658628468081	0	0.000176126215594788	0	0.00229841123889869	0.000869093604656983	0.000684658181573882	0	0.00090652632466013	0.000210361440710831	0	0.000598899699460278	0.000308348045346048	0.00191696972329761	0.00146125075279898	0	0.00101770084485828	0.000300631150809808	0.000746859527123698	0.000251039804146164	0.000204362179634976	0.000773651341220585	0
Memory_B_cells	0	0.0228964138548969	0.0344420202493803	0.00283270607334118	0.0238472338879417	0.00374317005099445	0	0.0161465763298851	0.00911727376995208	1.45900863024228e-18	6.1427125824608e-18	0.00842297574210466	0.03267322149786	0.00166548397797054	0.0243348629942225	0.0427735253191824	0	1.36042415700192e-18	0.00758552311961464	0.0114511072353715	2.99929398196776e-18	0.014171979487234	0.00117445248923188	3.6236200138786e-18	0.0251752225603969	0.013971642256524	0.0364811021289469	0	0	0.000287014748593868	0.0349634847265402	0.0477896348913042	1.48435470096535e-18	0.00425298146550843	0.0036496646715433	0.0485126187766241
MEP	0	0.0139665322608086	5.44726776020474e-19	0.00849580588437884	0.0328193543259694	0.0400900100080685	0.0320125222023387	0.00667088315663912	0.0329970195868408	0.0145424010792969	0.0223619246016996	0.0198697768554329	0.0357347450041773	0.0263078588915469	0	0.00832236127252442	0.0541514826367349	0.0507907311767654	0.0390085441326967	0.0144002881248253	0.0260450439725974	0.0217843555314367	0.0104808882934079	0.0209240171947977	0.0235986481408814	0.093500386481972	0.0381893527068603	0.0399659351856438	0.0169193134102921	0.0505890378626549	0.0347401336344909	0.0451898586071699	1.64169782180616e-18	0.0284100166001826	0.0272761127227461	0.0325117805368118
Mesangial_cells	0	0.000875724352047846	0.00349878190121557	1.95894703273045e-18	1.89279174080197e-19	0.00133788850317566	0	0	0	0	0	0	4.30996222150509e-20	0	0	0.00897933697192601	0	3.53338262237973e-18	7.91254951132587e-19	0.000850171060950651	0	0	0	0.00741842090391221	9.6256914581156e-05	0	0	5.04065388120871e-18	1.27179819001766e-19	0	7.71834808465684e-19	8.34217945058322e-19	0	0	3.49690129699427e-18	5.0982501452185e-19
