Mixture	MEL01	MEL02	MEL03	MEL04	MEL05	MEL06	MEL07	MEL08	MEL09	MEL10	MEL11	MEL12	MEL13	MEL14	MEL15	MEL16	MEL17	MEL18	MEL19	MEL20	MEL21
Megakaryocytes	2.58545056513467e-20	0	2.44772557183197e-20	0.000253662677362329	4.82506178959674e-19	0.00526784676022395	0.00292760065030277	6.84530481887862e-19	0	0	0.0113372822197615	7.57918025772941e-20	0.0126331959851895	0.00630901129960401	0.0114859649141273	1.59914273214018e-19	0	9.21956316189346e-05	1.87493218278943e-20	0.00339278325235588	0
Melanocytes	0	0.00212756385494225	0.0012750627035576	0.0105665033926865	0.00627866824804229	0.000299854396639818	0.000180025487558064	0.00135979603467549	0.000545748726819174	0.00265989190385953	0	0.00217089813421805	0.00545828109737793	2.17737426982937e-18	1.16900539094027e-17	0.00106968476234939	0.00132328565178036	0.000515363155944974	0	0	0.000660969427398185
Memory_B_cells	0	0.00103832311666447	0.0143411063545704	0.0108181848999268	0.0159266936791038	0.00914605118477148	0.0169573350980208	0.00785003790339359	0.0234522916731173	0.011833244370444	0.00453869944689843	0.0151812995747187	1.08333429920921e-17	0.01383716572484	0	0	0.00471924399058389	0.0156206247219365	0	0	7.18053705411915e-20
MEP	0	0.00412877416265508	0.000776135885407958	0	6.38185773629894e-19	0.00323132721325051	0.00577489894368715	4.26548633752231e-19	0.0192170980540669	0.00790166195607354	2.99494187277407e-20	5.35016164150064e-18	1.33269979632214e-18	5.86042526503697e-18	0.0128775367133692	0.00739708637818976	0.0046245401250408	2.9820739708151e-19	0.00128866686197009	0	0
Mesangial_cells	0.0134708814828508	0.0032568825913279	0.0129186829987597	0.0366013518728391	0.0023795970840201	0.00899005359185879	0.00159358384565463	0.00785583610379448	0.014506050976592	0.0135555826172479	0.0322420829593111	0.00568208083217739	0	1.94725984012658e-19	0	0.0279871194011309	0.0163693656169852	0.00397909523894061	0.0207491859670649	0.0168253866935231	0.012876475713141
Monocytes	1.83977363059345e-17	1.84066927383836e-17	0	7.13705073437608e-18	0	0	0	8.14702286698532e-18	0	0	8.44924235889667e-19	0	2.35979257338558e-17	0	0	3.62763511019349e-18	1.54950624841481e-17	2.01948802709711e-17	0	0	7.82012402191137e-18
MPP	0	0	0	1.47210055728558e-18	8.838820935413e-18	1.54884184299605e-19	1.00212300768509e-18	5.32893117619471e-19	0.00721558136894612	0	4.91334764865687e-20	8.72699080410139e-18	3.78729750742301e-17	0.00338684485236469	0	0	0	0.00638230756429695	0.00837205072257477	1.70021083068122e-19	0
MSC	1.38314552093418e-17	0.134460976105035	0.196078172365575	0.0475981093875657	0.122890656378135	0.222136772129017	0.158258933265895	0.124012960099647	0.0832507774795899	0.0729986011276287	0	0.0593707981572079	0.107464382296016	1.81297235846031e-17	0	0.119642381794735	0.15524316132853	0.079402890281871	7.7899583252392e-19	0	0.128599505186676
mv_Endothelial_cells	0.00576928338998744	0.00838579052882339	0.0155265568110058	0.00653443868692488	0.00336391453884892	0.0030512936701925	0.0097263846454965	0.0109282996097681	0.0090568732766221	0.0172261165226535	0.00125474768080587	0.00770929446228612	0	0	0	0.0130989513141806	0.00698576277313814	0.00888339366893209	0.00913600748251995	0.0107165419716245	0.00321131962076008
Myocytes	0.013791686655615	0.00833995513601342	0.0230572306971516	0	0	0.0159634197374372	0.0126795147409185	0.0210925447640537	0.00768189147239473	0.0169184786417222	0.00167712391204898	0.00400358644506044	0.00134364603835985	0	1.11463807144545e-18	0.00909645036088709	0.0129740298957917	0.0144355019065508	0.00998294668580674	0.0239715017010279	0.00877916426650819
