Mixture	Utest1_RPKM	Utest10_RPKM	Utest2_RPKM	Utest3_RPKM	Utest4_RPKM	Utest5_RPKM	Utest6_RPKM	Utest7_RPKM	Utest8_RPKM	Utest9_RPKM	ctrl1_RPKM	ctrl10_RPKM	ctrl2_RPKM	ctrl3_RPKM	ctrl4_RPKM	ctrl5_RPKM	ctrl6_RPKM	ctrl7_RPKM	ctrl8_RPKM	ctrl9_RPKM
Memory_B_cells	0	0	0.00278449006454551	0.024520952509441	0.0233746721831897	0.0340240762995005	0.0285828950353071	1.51951612031242e-18	0	6.69324043346542e-20	0	0.0191338266732409	7.58359309023256e-19	7.95216930303198e-05	0.016307589811528	2.30922618267788e-17	0.0200011998438639	0.00150977696128002	0.0174219798370441	0
MEP	0.0133039474805898	1.4670881987272e-18	0.0186567209365542	0.0100089766519045	0.00289137368799974	0.00551208435961064	0	0.0139388089138043	8.73122325206899e-19	0	0.00304286090527858	0	1.95382012850663e-17	0.00924125201810004	0.0126944756820487	0.00135350233442353	0.0102380690051069	0.00427846652870072	8.94145809796284e-19	0.0114496412955227
Mesangial_cells	0.00752919997053554	0.0181229893343969	0.00559157972029567	0.0105058292119046	0.0112061124113954	0	0.0185951849508098	4.26008603555193e-20	0	2.52022434676894e-19	0	0.00114483105834004	0	0.00978547873873366	0.0188887475012857	0.00458655704166267	0	0.0097229731592723	0.00993311412542069	0.00437822735901247
Monocytes	1.5903217349491e-18	0	0	0	1.48949565168646e-18	0.00944267875799466	1.91901536411386e-19	0	0	0.0105046775488118	1.05679240857523e-18	0	0	0	0	9.86834976589121e-20	0.000937067744668287	1.83228926006618e-18	1.65372573672855e-17	2.5373016685786e-18
MPP	3.14848414959791e-18	0.0163732106341483	2.02091826407086e-19	0	0.011341829177826	0	0.0122048667904346	0	1.64373375554612e-18	0	0	0.00777780885470424	6.51568141415251e-19	0	0.0209755821039038	0.00155986301664088	0.00680523079441396	0	0	0.00199466655688118
MSC	1.08328632897955e-17	0.0459556277668112	8.62208565968753e-18	0.0802636439455216	0.0957280496487581	0.0452755239954193	0.10805163794115	4.5230983432715e-17	5.16323316902411e-17	1.95796268085096e-17	3.83229540310667e-17	0.0601481071921787	5.15984214085134e-17	0	9.66978003221397e-21	2.6193437248909e-17	1.77435089741771e-17	0.0162575657106014	0.0546207138211621	0.0930360420096414
mv_Endothelial_cells	0	0.00309170804541383	0.00386406673803565	0.00838100716938571	0.0146758009055315	0.00557559033385952	0.0232567796279554	2.1258867486882e-18	2.45723891606529e-18	0	0	0.0174748988114299	0	0.00826931636964238	0.00615762833262565	0.00852736510138333	0.00744978727707669	0.0128802447217373	0.00839410932131711	0.0180467790179494
Myocytes	0	0.00146161190676818	0.00174968177131436	0	0.0117692173248209	0.010363520940342	0.0148994054144722	0.000766147066287455	1.7994201907782e-18	4.66952554556344e-19	0	0.0117412913297328	0	0.0156482399338808	0	1.06409503026117e-19	0.00547155174645438	0.000931735004969621	0.0123992255386092	0.00375498505544751
naive_B_cells	0	0	0	5.80005660042741e-18	0	0	1.90304808914928e-18	0	0	1.64684376971384e-18	0	0	0	2.94137116729598e-18	2.77976677109244e-18	5.78840868128665e-18	2.70683109774009e-18	2.96483104670844e-18	0	2.56668620858534e-18
Neurons	3.42906769553785e-05	0.00672385389018017	4.17900784331338e-05	0.00137670448666587	0.0113107329295126	0.00656638697599759	0.00435603471666323	0.000200508499516239	0.00022499765620669	0	0.000254056279945516	0.00927012591066486	0.000206269694461481	0.00126939528831614	0.00475039878486988	0.000383219874809814	0.000285261709645855	0.00697643605353888	0.0104627254225147	0.00587263162513004
Neutrophils	1.23048957268651e-05	0.023981506439827	0.0016283351703064	0.00241144336386802	6.94373776257712e-20	0.00405593316814709	0	0.00802439452248451	0.00455646871657231	0.023370465397686	0.00262771535029084	0	0	0.00448786457250033	0.00121811729107707	0	0.00136655743248394	0	0.00304505530059767	0
NK_cells	0	2.32756932999499e-20	0	6.27097646616239e-18	4.83423514077174e-19	0	0	0	3.02512405568622e-18	0	3.73887812788899e-19	3.45346627064224e-20	2.2735165510254e-18	0	1.4417903587477e-18	0	5.23604389778612e-18	0	2.26652489351975e-19	3.56906525017564e-18
NKT	0.000743157421195019	0.113284876885102	0.00922288192953941	0.0867533524542306	0.0997053760048549	0.0420326892192701	0.156556253939273	0.00812278892239096	0.0610587641083957	0.0193336843894596	5.24410499260663e-18	0.105489310102451	0	0.0728821848065709	0.195998445044757	0.00868750331578937	0.0361195995116918	0.12544734463634	0.0790166424206867	0.0799740545606165
Osteoblast	0.0164546079359393	0	0	4.46555189614079e-18	0	0	0	0.000546594616032284	2.44918399175389e-17	0	5.20696494533714e-18	0	0	0	1.49102887860506e-18	0	8.21898185266345e-18	6.5238017946475e-18	0	0
pDC	0	0.0174962321505144	0.00816595031611823	0.00819002204025059	0.0144867814115112	0.0449628025031856	0.0132842612394383	0.0161345751792859	0.000729454694740044	0	0	0	0.00355527764753224	4.38636430550993e-19	0.016810492901418	0.0110627411837964	0.0217469709105481	0.0216262891915426	0.0116288692711725	0.00403801452100354
Pericytes	1.32434739270525e-17	0.0339714746779581	1.5775081676811e-19	0.0217969603552391	0.0374125230487648	0.035600610629111	0.0462192067462628	0	0	0	0	4.08987369880828e-18	5.89118663026593e-17	1.9730133679402e-17	0.0384053988971258	0	9.43630715385586e-18	2.66968635894838e-17	0.0453580667426646	1.07613441923187e-17
Plasma_cells	0	0	0.00546604171784708	0.00495521421901032	0	0.00208119905215856	0.00992504557864667	0.000322005180012664	9.72922921779105e-20	3.73072692788404e-22	1.14720159086903e-19	0	6.47131817190703e-19	0.00170965940192672	0.00676300305732992	4.08146627474526e-19	1.45436250154178e-18	6.88118159175129e-18	1.10108821003549e-18	5.60676852574167e-19
Platelets	0	0	0	2.15061269732899e-18	5.83734275162272e-18	4.20943632980142e-19	2.53716486075407e-18	4.80601472298538e-18	3.00721349493435e-18	8.38898980773445e-19	5.68282152729458e-18	8.3576450659778e-19	8.84156789353443e-21	4.19131654858638e-18	0	0	1.20465797979993e-18	0	0	0
