Mixture	HD1_AD	HD2_AD	HD3_AD	HD4_AD	HD5_AD	HD6_AD	GBM_A1	GBM_A2	GBM_A4	GBM_A5	GBM_A6	GBM_A7	GBM_A8
MSC	0.00335854425285416	0.088860020469902	0.0306709003018779	3.03523060334108e-18	0.0329728429651812	0	0.025984143189727	0.0684584380573198	0.0533519314864902	0.0637082627836855	0.0494580153776126	0.108300276110669	0
mv_Endothelial_cells	8.16783807106145e-19	0.0101640728989151	0.000255276657350615	0.00224320443511701	0.00374284016879648	0.0186583837925342	0	3.72821273787023e-19	0.00358018272980768	0	0.00358253789529775	4.62429209345362e-19	8.91020522237516e-21
Myocytes	9.13368441817059e-19	0	0.00217111756844194	0.00570135401648054	0	0	0.00155852810198434	3.28472119871211e-19	0.000501863101586773	0	0.00913887417301905	0.000395345676888779	0.00447369243336624
naive_B_cells	0.0118218237411721	0	0	0	0	0	0	0.00399996446253641	0	1.90361824468399e-18	1.84547390301718e-19	2.59293865359569e-18	2.04581436765213e-18
Neurons	0	0.00550027841730721	0.00417147641258628	0.000342872774822699	0.0111011006705504	0	0	0.000427312600428961	0.00214403263016111	0.00195377674442126	0.00254243744105263	0.00513133091348366	0.00234028712534965
Neutrophils	0.00527246779942072	1.73979912285332e-18	0	0	1.95896682083187e-19	0.0369279679646696	2.45740236578624e-19	1.15125169305182e-18	0.00551495301459845	0.0021803103530197	0	0	0
NK_cells	0	0	1.30812242624371e-17	1.08157258745239e-18	0	9.28739337755448e-18	0	0	0	6.89879269045369e-19	1.35575872481666e-17	0	7.87143127454805e-18
NKT	0.03190967683916	0.00633617455039353	0.0148649040805257	4.40516815132151e-19	3.76692915821944e-18	0.118824361703925	1.92936903185666e-19	0.00116015444060453	0.00789299535453185	0.0214269914765019	0	0.0114472364087105	0.0425338847510162
Osteoblast	0.0519398762836043	0	0.0192339180723012	0.000964611301355141	0.0659504456126669	0.0490517841043864	0.0337749869016094	9.54172283104227e-18	0.00521242488939208	0.0192440287562535	0.00533468665924913	8.39509697593398e-18	0
pDC	0	1.2734231914062e-19	1.83891408094442e-19	9.58039554174809e-19	0	0	0	3.12100730822842e-20	0.0018124051285743	0.00336823590437134	0.0213647459328822	0	0.0167921902616666
