Mixture	KIRC01	KIRC02	KIRC03	KIRC04	KIRC05	KIRC06	KIRC07	KIRC08	KIRC09	KIRC10	KIRC11	KIRC12	KIRC13	KIRC14	KIRC15
NK_cells	9.85509955762716e-20	0.0328016755748732	0.00402334929524527	0.0172565311166189	1.90795115311388e-18	8.80906170307239e-20	0.0302933336954974	0.00257409179671506	0.000196067168276474	0.0641580554076704	0.0144493022636391	0.0377627311875006	0.0124204115565632	8.73885140491365e-18	2.63306322502664e-18
NKT	0.164746458280482	0.0356966425006895	0.0753302744101434	0	0	0.14053157190148	0.0386819733373467	0.00306363086403755	0.0440338752635689	0.0481513239123662	0.10545085724198	0.071748541782487	0.0816735452556232	0.199522337551443	0.0685606152654812
Osteoblast	0	0.0545933865064007	0.128532770202383	0.000851250786015742	0.0100856945713086	0.0093093912420125	0.0085071225772967	0	0	0	0.0466232817795137	0	0.0186784369577958	0.0570900895865119	0.0332983199281937
pDC	1.92082777723198e-18	0.00408126086417842	0.00571174728721556	2.19988501072049e-18	0.00343102478496848	0.0166984101016427	0.00564964719533078	0	0.0085405110749129	3.47712993453556e-05	3.89559833684018e-19	0.00643024739071133	0	0	2.01529855895035e-18
Pericytes	0	0.0264621259746356	0.17872138312176	0.249032912422153	1.08717187060787e-17	0.0640330451505283	2.63849865300696e-17	1.24535897455445e-17	0.0376034356417213	0.00414600397838314	0.0199526884835057	1.98432274362311e-18	1.4227867787008e-17	3.70252594170255e-18	0.0242885025862991
Plasma_cells	0.0267178936098852	0.0397557892159714	0	0.0573672485625041	0	0.0214491040666019	0.0195879619004714	0.0178357270415924	0.000981402408074246	0	0.013374191227584	0.0133041532887257	0.0244350939887576	0.00905166188337381	0.0183917570580928
Platelets	0.06576182593955	0.0288770678679895	0.0115741911813403	0.0128522938295277	0.0668298347626635	0.00314412606552898	0.00897108320568064	0.0176311071161738	0.127822590991709	4.83768527205733e-18	0.00512393695848062	0.0666824318254767	0.002579600664524	0	0
Preadipocytes	1.32830867314716e-17	0.0131794871176042	0.0273696725328595	0	0.039972533865438	0	0	0.00849403557426313	0.060021334894028	0	0.0113986508693013	0.116920974311825	3.11763158247433e-18	0.00622237698609344	1.15934064420158e-17
pro_B_cells	4.52262430560424e-19	0.0118946108290143	0.00183562915231069	0	1.73416412618889e-19	0	0.00372882965402604	0.0105975332724498	8.52112293823496e-18	7.24797778802233e-19	0	0.0180151537143701	0.0210673025811081	3.59989093860039e-18	0.00793458111429282
Sebocytes	0	0	1.95126415720593e-19	0	7.34723976222182e-20	0	0	6.48535554140431e-20	5.0551517018133e-19	0	1.11016218631691e-19	0	6.90237608082092e-20	0	0
Skeletal_muscle	3.98057689785255e-18	1.18825375404231e-18	0	0.00486700529711056	1.03998551880678e-18	0	5.66919855479108e-18	1.46711934695979e-19	0	0.00294468191786398	0	1.30762207486955e-19	0	4.43764951194594e-19	2.58078710385728e-18
Smooth_muscle	0.0765954472696985	0.0690458515082319	0.13402296711279	0	3.14557315352885e-17	5.48183208278564e-18	0.161749521044871	0.0798648112547914	0.167580136069321	0.158637078192847	0.0726878945330336	0.0796203327366875	0.0972181224328721	0.111617505956011	0.131489686492784
Tgd_cells	0.0223175758207834	0.0435344906787874	0.0324986638603059	0	2.7049446443264e-18	0.0551952996781105	0	0.0381176822186225	0.068079749618194	0.0396873047032524	0.0522508954890696	0.0486915984987844	0.0159377294277173	0.039665629986348	0.0204802029746044
Th1_cells	0.0376875686205171	0.0509358596738334	2.33584598319212e-19	0.0455676878145743	0	0.0459201174475879	0	0.019880794107569	3.20064999399573e-18	4.09005710594994e-18	0.000620366672510258	0	0.0433023609631994	0.00470856025007443	5.64500696534965e-18
Th2_cells	0.00840874080788382	0.0154386334611948	0	0.0796165950683732	0	0.0046846731737923	0.146633258458578	3.14874714461383e-20	0	0.0556813111596679	0.0631223961573069	0	0	0	0.092125777242598
Tregs	0.0105394109148674	0	0	6.1423431132766e-18	0	0.00315893562867991	0.00165944286840928	0	3.2718494867567e-18	6.06167083053325e-18	0.0130440581709675	0.0209805400636008	0.00584648960768281	0.000588719703752604	0.0409283360930611
