genename	species	cancername	sample	method
miR-147b	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-148a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-148a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-148b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-148b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-150-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-150-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-151a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-151a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-151b	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-153-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-155-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-15a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-15b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-15b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-16-2-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-16-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-17-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-17-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-181a-2-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-181a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-181b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-181c-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-181c-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-181d-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-182-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-183-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-183-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-186-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-18a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-18a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-190a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-191-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-191-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-192-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-192-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-193a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-193b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-194-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-194-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-196a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-196b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-197-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-19a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-19b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-200a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-200a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-200b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-200b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-200c-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-203a	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-203b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-204-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-20a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-20a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-210-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-212-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-21-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-215-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-215-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-21-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-221-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-221-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-222-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-222-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-22-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-224-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-23a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-23b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-24-2-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-24-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-2467-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-25-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-25-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-26a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-26b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-27a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-27a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-27b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-27b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-28-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-28-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-29a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-29b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-29c-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-301a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-301b	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30c-1-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30c-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30d-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30d-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30e-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-30e-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-31-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-3176	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-3200-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-320a	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-320b	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-320c	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-320d	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-324-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-324-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-32-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-330-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-331-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-335-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-335-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-338-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-339-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-339-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-33a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-340-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-345-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-34a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-3605-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-3613-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-3613-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-361-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-362-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-362-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-365a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-365b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-365b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-3664-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-3677-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-374a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-374a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-374b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-375	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-378a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-378c	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-378d	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-421	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-423-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-423-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-424-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-424-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-425-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-425-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-429	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-4446-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-4454	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-4461	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-450b-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-451a	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-452-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-452-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-454-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-454-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-4664-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-4677-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-4745-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-484	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-486-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-500a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-501-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-502-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-505-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-509-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-5094	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-532-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-542-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-548d-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-548f-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-548k	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-548o-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-549a	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-550a-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-552-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-552-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-574-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-574-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-576-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-577	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-582-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-582-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-584-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-589-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-625-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-625-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-629-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-641	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-652-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-660-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-664a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-671-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-675-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-675-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-6842-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-6847-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-7-1-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-744-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-7-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-7641	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-769-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-7704	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-7705	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-7706	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-7974	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-877-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-92a-1-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-92a-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-92b-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-93-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-93-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-941	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-95-3p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-96-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-98-5p	Homo sapiens	colon cancer	Colon carcinoma cells	RT-PCR,Western blot
miR-124-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-142-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-145-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-200a-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-335-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-342-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-369-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-486-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-199a-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-139-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-214-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-223-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-143-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-144-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-150-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-155-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-376c-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-379-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-451a	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-432-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-494-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-495-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-144-5p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
miR-486-3p	Homo sapiens	Malignant Melanoma	Melanoma cells	Western blot,RNA deep sequencing 
SNAR-A11	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
SERF2	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
EIF1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
RTN3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
TUBA1B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
GNB2L1	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
IFITM3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
UBE2E3	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
NOP56	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
ANP32B	Homo sapiens	liver cancer	Hepatocellular carcinoma cells	Western blot,Mass spectrometry,RT-PCR,RNA-seq
