genename	species	cancername	sample	method
MALAT1	Homo sapiens (human)	prostate cancer	Liquid biopsies contain a variety of clinically informative components. Blood samples can be analyzed for circulating tumor cells (CTCs),tumor educated platelets ,exosomes and cell-free nucleic acids 	etc.
FAL1 	Homo sapiens (human)	ovarian cancer	SKOV3 cells and HO-8910PM cells 	RT-qPCR,Western blot,etc.
HULC	Homo sapiens (human)	pancreatic cancer	The human pancreatic cancer cell lines Panc-1,MiaPaCa-2,and BxPC-3	RT-qPCR,Western blot,etc.
RP5-1092A11.2	Homo sapiens (human)	squamous cell carcinoma 	early-stage(pathological stage I-II) ESCC (n = 6),esophagitis cases (n = 6) and subjects with normal esophagus (n = 6)	RNA-seq,RT-qPCR,Western blot,
lnc-GNAQ-6:1	Homo sapiens (human)	gastric cancer	32 males,aged 43–77years (median age 62years),11 fe-males,aged 42–81years old (median age 66years)	RT-qPCR,etc.
ROR	Homo sapiens (human)	liver cancer	HepG2 and PLC-PRF5 cells	RT-PCR,Luciferase,etc.
ANRIL	Homo sapiens (human)	bladder cancer	A total 30 BC patients and 10 healthy control 	RT-qPCR,etc.
PCAT1	Homo sapiens (human)	bladder cancer	A total 30 BC patients and 10 healthy control 	RT-qPCR,etc.
MIAT	Homo sapiens (human)	gastric cancer	A total of 109 patients with GC,48 patients with gastric adenoma,and 50 healthy volunteers 	RT-qPCR,Western blot,etc.
LINC00673	Homo sapiens (human)	cervical cancer	HELA and C-33A cell lines	RT-PCR,Western blot,etc.
SNHG	Homo sapiens (human)	breast cancer	MCF-7 and MD-MBA-453 breast cancer cells	RT-qPCR,Western blot,Luciferase,etc.
MALAT1	Homo sapiens (human)	colorectal cancer	Human CRC cell lines LoVo,HCT-8,SW620,andSW48	RT-qPCR,Luciferase,RIP,Western blot,etc.
CEBPA-AS1	Homo sapiens (human)	gastric cancer	The human normal gastric epithelial cell line GES-1 and human gastric cancer cell lines SGC-7901 and BGC-823 	Western blot,RT-PCR,etc.
TUC339	Homo sapiens (human)	liver cancer	Human HCC cell lines,Hep3B,HepG2,and PLC/PRF/5	RT-qPCR,etc.
H19	Homo sapiens (human)	breast cancer	A total of 50 patients newly diagnosed with BC 	RT-qPCR,etc.
AGAP2-AS1	Homo sapiens (human)	breast cancer	The human breast cancer cell lines (SKBR-3 and BT474) and 1 normal epithelial cell line (MCF-10A) 	RT-qPCR,RIP,Western blot,etc.
EGFR	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
KRAS	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
ALK	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
MET	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
LKB1	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
BRAF	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
PIK3CA	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
RET	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
ROS1	Homo sapiens (human)	lung cancer	Inclusion criteria for smoker patients required at least a 10 pack-year history of smoking, while the nonsmoker control subjects were self-reported never smokers	RT-qPCR,etc.
KRTAP5-4	Homo sapiens (human)	colorectal cancer	Sera from 76 preoperative colorectal cancer patients, 76 age- and sex-matched healthy subjects, and 20 colorectal adenoma patients without colorectal cancer	qPCR,etc.
